Salt,Temperature_C,MW_Salt_g_per_mol,RH_Water_Activity,Mass_Fraction_Salt,Mass_Fraction_Water,Mole_Fraction_Water,Mole_Fraction_Water_Ionic_Basis,Molality_mol_per_kg,Activity_Coefficient_Water,Ionic_Strength_mol_per_kg,ln_aw,ln_gammaw
NaCl,25.0000000000,58.4430000000,0.7660000000,0.2566377167,0.7433622833,0.9038162168,0.8245115742,5.9072786802,0.9290348661,5.9072786802,-0.2665731092,-0.0736090100
NaCl,25.0000000000,58.4430000000,0.7682525253,0.2550577955,0.7449422045,0.9045352015,0.8257090532,5.8584606974,0.9304155287,5.8584606974,-0.2636367910,-0.0721239876
NaCl,25.0000000000,58.4430000000,0.7705050505,0.2534698068,0.7465301932,0.9052559373,0.8269110271,5.8096016561,0.9317871274,5.8096016561,-0.2607090694,-0.0706508945
NaCl,25.0000000000,58.4430000000,0.7727575758,0.2518736186,0.7481263814,0.9059784621,0.8281175742,5.7606993615,0.9331495911,5.7606993615,-0.2577898944,-0.0691897575
NaCl,25.0000000000,58.4430000000,0.7750101010,0.2502690959,0.7497309041,0.9067028148,0.8293287745,5.7117515840,0.9345028472,5.7117515840,-0.2548792162,-0.0677406054
NaCl,25.0000000000,58.4430000000,0.7772626263,0.2486561007,0.7513438993,0.9074290350,0.8305447097,5.6627560584,0.9358468210,5.6627560584,-0.2519769854,-0.0663034687
NaCl,25.0000000000,58.4430000000,0.7795151515,0.2470344915,0.7529655085,0.9081571631,0.8317654633,5.6137104828,0.9371814363,5.6137104828,-0.2490831532,-0.0648783802
NaCl,25.0000000000,58.4430000000,0.7817676768,0.2454041240,0.7545958760,0.9088872403,0.8329911205,5.5646125172,0.9385066150,5.5646125172,-0.2461976711,-0.0634653745
NaCl,25.0000000000,58.4430000000,0.7840202020,0.2437648503,0.7562351497,0.9096193086,0.8342217684,5.5154597829,0.9398222771,5.5154597829,-0.2433204911,-0.0620644885
NaCl,25.0000000000,58.4430000000,0.7862727273,0.2421165191,0.7578834809,0.9103534110,0.8354574962,5.4662498608,0.9411283409,5.4662498608,-0.2404515655,-0.0606757610
NaCl,25.0000000000,58.4430000000,0.7885252525,0.2404589756,0.7595410244,0.9110895912,0.8366983949,5.4169802906,0.9424247224,5.4169802906,-0.2375908471,-0.0592992330
NaCl,25.0000000000,58.4430000000,0.7907777778,0.2387920611,0.7612079389,0.9118278940,0.8379445576,5.3676485693,0.9437113358,5.3676485693,-0.2347382890,-0.0579349480
NaCl,25.0000000000,58.4430000000,0.7930303030,0.2371156134,0.7628843866,0.9125683649,0.8391960796,5.3182521500,0.9449880932,5.3182521500,-0.2318938449,-0.0565829514
NaCl,25.0000000000,58.4430000000,0.7952828283,0.2354294663,0.7645705337,0.9133110506,0.8404530581,5.2687884410,0.9462549046,5.2687884410,-0.2290574687,-0.0552432910
NaCl,25.0000000000,58.4430000000,0.7975353535,0.2337334495,0.7662665505,0.9140559987,0.8417155927,5.2192548036,0.9475116778,5.2192548036,-0.2262291149,-0.0539160172
NaCl,25.0000000000,58.4430000000,0.7997878788,0.2320273887,0.7679726113,0.9148032578,0.8429837855,5.1696485517,0.9487583184,5.1696485517,-0.2234087380,-0.0526011825
NaCl,25.0000000000,58.4430000000,0.8020404040,0.2303111051,0.7696888949,0.9155528775,0.8442577406,5.1199669497,0.9499947296,5.1199669497,-0.2205962933,-0.0512988421
NaCl,25.0000000000,58.4430000000,0.8042929293,0.2285844157,0.7714155843,0.9163049086,0.8455375648,5.0702072114,0.9512208124,5.0702072114,-0.2177917362,-0.0500090537
NaCl,25.0000000000,58.4430000000,0.8065454545,0.2268471329,0.7731528671,0.9170594029,0.8468233672,5.0203664982,0.9524364652,5.0203664982,-0.2149950228,-0.0487318774
NaCl,25.0000000000,58.4430000000,0.8087979798,0.2250990643,0.7749009357,0.9178164136,0.8481152598,4.9704419182,0.9536415841,4.9704419182,-0.2122061091,-0.0474673762
NaCl,25.0000000000,58.4430000000,0.8110505051,0.2233400127,0.7766599873,0.9185759946,0.8494133569,4.9204305238,0.9548360624,4.9204305238,-0.2094249518,-0.0462156157
NaCl,25.0000000000,58.4430000000,0.8133030303,0.2215697759,0.7784302241,0.9193382016,0.8507177758,4.8703293108,0.9560197910,4.8703293108,-0.2066515079,-0.0449766642
NaCl,25.0000000000,58.4430000000,0.8155555556,0.2197881465,0.7802118535,0.9201030911,0.8520286367,4.8201352163,0.9571926581,4.8201352163,-0.2038857347,-0.0437505931
NaCl,25.0000000000,58.4430000000,0.8178080808,0.2179949119,0.7820050881,0.9208707210,0.8533460624,4.7698451175,0.9583545491,4.7698451175,-0.2011275899,-0.0425374765
NaCl,25.0000000000,58.4430000000,0.8200606061,0.2161898538,0.7838101462,0.9216411507,0.8546701790,4.7194558294,0.9595053463,4.7194558294,-0.1983770316,-0.0413373916
NaCl,25.0000000000,58.4430000000,0.8223131313,0.2143727483,0.7856272517,0.9224144408,0.8560011155,4.6689641034,0.9606449295,4.6689641034,-0.1956340181,-0.0401504185
NaCl,25.0000000000,58.4430000000,0.8245656566,0.2125433657,0.7874566343,0.9231906533,0.8573390044,4.6183666257,0.9617731753,4.6183666257,-0.1928985082,-0.0389766406
NaCl,25.0000000000,58.4430000000,0.8268181818,0.2107014700,0.7892985300,0.9239698517,0.8586839812,4.5676600150,0.9628899571,4.5676600150,-0.1901704608,-0.0378161446
NaCl,25.0000000000,58.4430000000,0.8290707071,0.2088468192,0.7911531808,0.9247521009,0.8600361849,4.5168408208,0.9639951454,4.5168408208,-0.1874498355,-0.0366690203
NaCl,25.0000000000,58.4430000000,0.8313232323,0.2069791647,0.7930208353,0.9255374676,0.8613957580,4.4659055219,0.9650886071,4.4659055219,-0.1847365919,-0.0355353610
NaCl,25.0000000000,58.4430000000,0.8335757576,0.2050982513,0.7949017487,0.9263260197,0.8627628467,4.4148505239,0.9661702063,4.4148505239,-0.1820306900,-0.0344152633
NaCl,25.0000000000,58.4430000000,0.8358282828,0.2032038167,0.7967961833,0.9271178270,0.8641376008,4.3636721575,0.9672398031,4.3636721575,-0.1793320903,-0.0333088276
NaCl,25.0000000000,58.4430000000,0.8380808081,0.2012955916,0.7987044084,0.9279129607,0.8655201740,4.3123666767,0.9682972544,4.3123666767,-0.1766407535,-0.0322161578
NaCl,25.0000000000,58.4430000000,0.8403333333,0.1993732995,0.8006267005,0.9287114941,0.8669107238,4.2609302565,0.9693424135,4.2609302565,-0.1739566405,-0.0311373616
NaCl,25.0000000000,58.4430000000,0.8425858586,0.1974366560,0.8025633440,0.9295135019,0.8683094121,4.2093589910,0.9703751299,4.2093589910,-0.1712797126,-0.0300725504
NaCl,25.0000000000,58.4430000000,0.8448383838,0.1954853691,0.8045146309,0.9303190607,0.8697164047,4.1576488915,0.9713952494,4.1576488915,-0.1686099316,-0.0290218395
NaCl,25.0000000000,58.4430000000,0.8470909091,0.1935191384,0.8064808616,0.9311282491,0.8711318718,4.1057958844,0.9724026138,4.1057958844,-0.1659472594,-0.0279853485
NaCl,25.0000000000,58.4430000000,0.8493434343,0.1915376555,0.8084623445,0.9319411474,0.8725559880,4.0537958090,0.9733970611,4.0537958090,-0.1632916582,-0.0269632008
NaCl,25.0000000000,58.4430000000,0.8515959596,0.1895406030,0.8104593970,0.9327578380,0.8739889327,4.0016444157,0.9743784249,4.0016444157,-0.1606430905,-0.0259555242
NaCl,25.0000000000,58.4430000000,0.8538484848,0.1875276548,0.8124723452,0.9335784053,0.8754308896,3.9493373640,0.9753465350,3.9493373640,-0.1580015191,-0.0249624506
NaCl,25.0000000000,58.4430000000,0.8561010101,0.1854984756,0.8145015244,0.9344029358,0.8768820477,3.8968702206,0.9763012167,3.8968702206,-0.1553669073,-0.0239841165
NaCl,25.0000000000,58.4430000000,0.8583535354,0.1834527204,0.8165472796,0.9352315178,0.8783426007,3.8442384571,0.9772422910,3.8442384571,-0.1527392185,-0.0230206628
NaCl,25.0000000000,58.4430000000,0.8606060606,0.1813900346,0.8186099654,0.9360642422,0.8798127474,3.7914374488,0.9781695743,3.7914374488,-0.1501184163,-0.0220722351
NaCl,25.0000000000,58.4430000000,0.8628585859,0.1793100534,0.8206899466,0.9369012018,0.8812926920,3.7384624723,0.9790828787,3.7384624723,-0.1475044648,-0.0211389835
NaCl,25.0000000000,58.4430000000,0.8651111111,0.1772124016,0.8227875984,0.9377424917,0.8827826440,3.6853087043,0.9799820114,3.6853087043,-0.1448973281,-0.0202210632
NaCl,25.0000000000,58.4430000000,0.8673636364,0.1750966931,0.8249033069,0.9385882096,0.8842828184,3.6319712199,0.9808667751,3.6319712199,-0.1422969710,-0.0193186339
NaCl,25.0000000000,58.4430000000,0.8696161616,0.1729625312,0.8270374688,0.9394384551,0.8857934361,3.5784449909,0.9817369673,3.5784449909,-0.1397033582,-0.0184318605
NaCl,25.0000000000,58.4430000000,0.8718686869,0.1708095072,0.8291904928,0.9402933304,0.8873147235,3.5247248853,0.9825923810,3.5247248853,-0.1371164549,-0.0175609131
NaCl,25.0000000000,58.4430000000,0.8741212121,0.1686372012,0.8313627988,0.9411529404,0.8888469131,3.4708056655,0.9834328041,3.4708056655,-0.1345362263,-0.0167059668
